level,guild,race,class,region
5,Guild Guild -1,Orc,Warrior,Durotar
9,Guild Guild -1,Orc,Shaman,Durotar
13,Guild Guild -1,Orc,Shaman,Durotar
14,Guild Guild 0,Orc,Warrior,Durotar
14,Guild Guild -1,Orc,Shaman,Durotar
16,Guild Guild -1,Orc,Hunter,The Barrens
18,Guild Guild -1,Orc,Warlock,The Barrens
17,Guild Guild -1,Orc,Hunter,Silverpine Forest
26,Guild Guild 0,Orc,Warrior,Stonetalon Mountains
27,Guild Guild 1,Orc,Hunter,Stonetalon Mountains
24,Guild Guild -1,Orc,Hunter,The Barrens
25,Guild Guild 2,Orc,Hunter,The Barrens
21,Guild Guild -1,Orc,Hunter,Thunder Bluff
33,Guild Guild 3,Orc,Warrior,Dustwallow Marsh
35,Guild Guild 4,Orc,Warrior,Orgrimmar
40,Guild Guild 5,Orc,Hunter,Undercity
32,Guild Guild 6,Orc,Warlock,Ashenvale
35,Guild Guild 7,Orc,Hunter,Stranglethorn Vale
39,Guild Guild 7,Orc,Hunter,Stranglethorn Vale
36,Guild Guild -1,Orc,Rogue,Thunder Bluff
39,Guild Guild 8,Orc,Warlock,Thunder Bluff
45,Guild Guild 9,Orc,Hunter,Wailing Caverns
48,Guild Guild 10,Orc,Warrior,Tanaris
41,Guild Guild 2,Orc,Hunter,Orgrimmar
42,Guild Guild 11,Orc,Shaman,Orgrimmar
42,Guild Guild 12,Orc,Shaman,Orgrimmar
44,Guild Guild 3,Orc,Hunter,Orgrimmar
45,Guild Guild 13,Orc,Hunter,Orgrimmar
45,Guild Guild 14,Orc,Hunter,Orgrimmar
41,Guild Guild -1,Orc,Hunter,Undercity
45,Guild Guild 5,Orc,Warlock,Undercity
48,Guild Guild 4,Orc,Shaman,Maraudon
41,Guild Guild 6,Orc,Shaman,Stranglethorn Vale
45,Guild Guild 11,Orc,Hunter,Stranglethorn Vale
47,Guild Guild 5,Orc,Warrior,Stranglethorn Vale
48,Guild Guild 15,Orc,Warrior,The Hinterlands
41,Guild Guild 16,Orc,Shaman,Thunder Bluff
